;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
PONEDELJEK;sirova štručka (velika, mala);polnozrnata štručka;polnozrnata štručka;smuti;;
4.1.2016;mortadela;mu vita namaz;mu vita namaz;;;
;vložena paprika po izbiri;vložena paprika po izbiri;vložena paprika po izbiri;;;
;polnozrnat čokoladni navihanček;polnozrnat čokoladni navihanček;polnozrnat čokoladni navihanček;polnozrnat čokoladni navihanček;;
;sok;sok;sok;voda (bidon);;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;koruzna želvica (velika, mala);koruzna želvica (mala);koruzna želvica (mala);tunina solata;;
TOREK;mocarela;mocarela;mocarela;eko koruzna štručka;;
5.1.2016;rukola po izbiri;rukola po izbiri;rukola po izbiri;;;
;sadni jogurt;sadni jogurt;sadni jogurt;;;
;sok;sok;sok;voda (bidon);;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;temna makovka (velika, mala);;;;;
SREDA;kuhan pršut;skuta z malinami;skuta z malinami;skuta z malinami;;
6.1.2016;hren po izbiri;ajdovo pecivo;ajdovo pecivo;ajdovo pecivo;;
;trdo kuhano jajce;;;;;
;sok;voda (bidon);voda (bidon);voda (bidon);;
;;;;;;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;eko pšenični kruh (NV 3 kos, N 2 kos);eko pšenični kruh (2 kos);eko pšenični kruh (2 kos);;;
ČETRTEK;nutela (NV 3 kos, N 2 kos);nutela ( 2 kos);nutela ( 2 kos);sadna solata;;
7.1.2016;mandlji;mandlji;mandlji;mandlji;;
;;;;;;
;čok. mleko (NV 4dcl, N 2 dcl);čok. mleko 2 dcl;čok. mleko 2 dcl;voda (bidon);;
;NV in N- navadna malica;Vpr -veg.mal. s per. in ribo ;V - vegetarijanska malica;SZ - sadno zelenj. malica;;
;skutni burek (NV 1,5kos, N 1 kos);skutni burek;skutni burek;;;
PETEK;tekoči probiot.jogurt;tekoči probiot.jogurt;tekoči probiot.jogurt;zelena solata s pečenim sirom;;
8.1.2016;;;;rezina eko polnozrn.kruha;;
;;;;;;
;voda (bidon);voda (bidon);voda (bidon);voda (bidon);;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
